run_ts,snapshot_date,status,raw_rows,panel_rows_after,note
2026-04-02 15:40:18,2026-04-02,error,,,"Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - `Import pyarrow` failed. pyarrow is required for parquet support. Use pip or conda to install the pyarrow package.
 - `Import fastparquet` failed. fastparquet is required for parquet support. Use pip or conda to install the fastparquet package."
2026-04-02 15:41:09,2026-04-02,error,,,"Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - `Import pyarrow` failed. pyarrow is required for parquet support. Use pip or conda to install the pyarrow package.
 - `Import fastparquet` failed. fastparquet is required for parquet support. Use pip or conda to install the fastparquet package."
2026-06-07 14:18:41,2026-06-07,ok,9993.0,629029.0,download + process + panel update successful
2026-06-08 16:16:27,2026-06-08,ok,10080.0,639109.0,download + process + panel update successful
2026-06-09 15:26:14,2026-06-09,ok,10103.0,649212.0,download + process + panel update successful
2026-06-10 16:05:30,2026-06-10,ok,10120.0,659332.0,download + process + panel update successful
2026-06-11 16:19:10,2026-06-11,ok,9897.0,669229.0,download + process + panel update successful
2026-06-12 15:36:24,2026-06-12,ok,9794.0,679023.0,download + process + panel update successful
2026-06-13 14:22:46,2026-06-13,ok,9776.0,688799.0,download + process + panel update successful
2026-06-14 14:25:56,2026-06-14,ok,9763.0,698562.0,download + process + panel update successful
2026-06-15 17:26:50,2026-06-15,ok,10010.0,708572.0,download + process + panel update successful
2026-06-16 17:19:28,2026-06-16,ok,10131.0,718703.0,download + process + panel update successful
2026-06-17 16:00:50,2026-06-17,ok,10164.0,728867.0,download + process + panel update successful
2026-06-18 15:51:09,2026-06-18,ok,9929.0,738796.0,download + process + panel update successful
2026-06-19 15:39:11,2026-06-19,ok,9858.0,748654.0,download + process + panel update successful
2026-06-20 14:27:56,2026-06-20,ok,9841.0,758495.0,download + process + panel update successful
2026-06-21 14:31:11,2026-06-21,ok,9834.0,768329.0,download + process + panel update successful
2026-06-22 17:12:36,2026-06-22,ok,10142.0,778471.0,download + process + panel update successful
2026-06-23 15:22:50,2026-06-23,ok,10233.0,788704.0,download + process + panel update successful
2026-06-24 14:52:26,2026-06-24,ok,10288.0,798992.0,download + process + panel update successful
2026-06-25 14:52:43,2026-06-25,ok,10121.0,809113.0,download + process + panel update successful
2026-06-26 14:45:28,2026-06-26,ok,10090.0,819203.0,download + process + panel update successful
2026-06-27 14:04:51,2026-06-27,ok,10028.0,829231.0,download + process + panel update successful
2026-06-28 14:13:02,2026-06-28,ok,10020.0,839251.0,download + process + panel update successful
2026-06-29 16:06:50,2026-06-29,ok,10058.0,849309.0,download + process + panel update successful
2026-06-30 14:41:12,2026-06-30,ok,10074.0,859383.0,download + process + panel update successful
2026-07-01 15:10:03,2026-07-01,ok,10057.0,869440.0,download + process + panel update successful
2026-07-02 14:26:43,2026-07-02,ok,8098.0,877538.0,download + process + panel update successful
2026-07-03 14:30:01,2026-07-03,ok,7567.0,885105.0,download + process + panel update successful
2026-07-04 13:55:59,2026-07-04,ok,7498.0,892603.0,download + process + panel update successful
