Nome,TipoPosto,Municipio,Preco,Marca,Combustivel,DataAtualizacao,Distrito,Morada,Localidade,CodPostal,Latitude,Longitude,Preco_num
BP Cabaços JMGracio,Outro,Alvaiázere,"2,029 €",BP,Gasolina especial 98,2024-08-05 07:00:00,Leiria,R. Conselheiro José Eduardo Simões,Cabaços,3250-359,39.80565,-8.34787,2.029
CEPSA S. Teotónio,Outro,Odemira,"1,939 €",CEPSA,Gasolina especial 98,2024-09-01 00:00:00,Beja,"Loteamento Industrial da Bemposta, Lote 7",S. Teotónio,7630-614,37.50998,-8.71566,1.939
GABARITO PRINCIPAL LDA,Outro,Mogadouro,"1,999 €",SHELL,Gasolina especial 98,2025-01-06 07:40:00,Bragança,AVENIDA DO SABOR,Mogadouro,5200-204,41.345251,-6.705865,1.999
Vila Franca das Naves,Outro,Trancoso,"1,983 €",CEPSA,Gasolina especial 98,2025-02-03 00:00:00,Guarda,EN 226,Vila Franca das Naves,6420-708,40.725425,-7.264571,1.983
ALFENA,Outro,Valongo,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:00:00,Porto,Rua 1º de Maio nº 1770,Alfena,4445-245,41.241066,-8.525901,2.099
BP ARRIFANA,Outro,Santa Maria da Feira,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:00:00,Aveiro,"Rua Terras de Santa Maria\r\n(Antiga Estrada Nacional nº1 - km 276,065)\r\nApartado 1077",Arrifana,3700-908,40.91849,-8.49898,2.099
ALFABRENT Santo Tirso Fontiscos,Outro,Santo Tirso,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:00:00,Porto,"Rua dos Fontiscos, nr.º 693",Santo Tirso,4780-470,41.3406,-8.49337,2.099
ALFABRENT Guimarães Silvares,Outro,Guimarães,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:00:00,Braga,R. 25 Abril - Lugar de Carvalhais,Silvares,4835-400,41.442571,-8.333676,2.099
A4 - Vila Real Norte (Lamares),Auto-estrada,Vila Real,"2,109 €",BP,Gasolina especial 98,2025-02-10 00:00:00,Vila Real,"A4, Km 101.450, Lote 2, Lado Norte",Lamares,5000-131,41.32436,-7.64109,2.109
A4 - Vila Real Sul (Lamares),Auto-estrada,Vila Real,"2,109 €",BP,Gasolina especial 98,2025-02-10 00:00:00,Vila Real,"A4, Km 101.45, Lote 2, Lado Sul",Lamares,5000-131,41.3236,-7.64111,2.109
BP EN 125 (SUL),Outro,Faro,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:00:00,Faro,EN 125,Faro - Pontes de Marchil,8000-000,37.029915,-7.947817,2.099
BP EN 125 (NORTE),Outro,Faro,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:00:00,Faro,EN 125,Faro - Pontes de Marchil,8000-000,37.030249,-7.947455,2.099
BP Lisboa - Duarte Pacheco,Outro,Lisboa,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:05:00,Lisboa,Av. Duarte Pacheco (Cascais/Lisboa),Lisboa,1070-113,38.722694,-9.167921,2.099
VILAR DO PINHEIRO,Outro,Vila do Conde,"1,978 €",CEPSA,Gasolina especial 98,2025-02-10 00:05:00,Porto,E.N. 13 - Lugar da Igreja - Vilar Pinheiro\r\n,Vila do Conde,4485-860,41.27038709,-8.67019644,1.978
BP IC 20 Almada - (Via Rápida Sul),Outro,Almada,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:05:00,Setúbal,Via Rápida da Costa da Caparica - Casquilho,Almada,2800-000,38.66393,-9.179462,2.099
BP Cacém - IC19,Outro,Sintra,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:05:00,Lisboa,IC 19 (EN 249) Estrada Sintra-Lisboa - São Marcos,Agualva-Cacém,2735-000,38.761864,-9.296572,2.099
BP AEROPORTO,Outro,Lisboa,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:05:00,Lisboa,Nova Rotunda Aeroporto de Lisboa - Av. de Berlim,Lisboa,1700-067,38.76924,-9.125385,2.099
BP - Pero Pinheiro,Outro,Sintra,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:05:00,Lisboa,"Av. 19 de Maio, 22",Pero Pinheiro,2715-001,38.852646,-9.326478,2.099
BP Ramalhão,Outro,Sintra,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:05:00,Lisboa,Av. Conde de Sucena - Ramalhão,Carrascal,2710-153,38.788647,-9.373986,2.099
BP Santarém - Variante,Outro,Santarém,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:05:00,Santarém,Circular Urbana D. Luís I,Santarém,2005-353,39.257336,-8.701146,2.099
MATOSINHOS - CUSTOIAS,Outro,Matosinhos,"2,099 €",BP,Gasolina especial 98,2025-02-10 00:05:00,Porto,Rua CÃ¢ndido dos Reis 2114,Custóias Matosinhos,4460-702,41.201341,-8.646451,2.099
Posto Abastecimento BP - Torres Novas,Outro,Torres Novas,"2,099 €",BP,Gasolina especial 98,2025-02-10 07:00:00,Santarém,Avenida Andrade Corvo,Torres Novas,2350-463,39.471306,-8.542961,2.099
P. A. Recta do Pinhal,Outro,Sertã,"1,869 €",BP,Gasolina especial 98,2025-02-10 09:00:00,Castelo Branco,Recta do Pinhal,Sertã,6100-751,39.79967,-8.09258,1.869
POSTO ALVAIÁZERE,Outro,Alvaiázere,"1,998 €",CEPSA,Gasolina especial 98,2025-02-10 10:30:00,Leiria,"Parque Industrial de Saganga, lote 3 e 4",Alvaiázere,3250-111,39.816294,-8.378092,1.998
MOEVE - Viseu (Av. da Bélgica),Outro,Viseu,"1,816 €",Genérico,Gasolina especial 98,2025-02-10 10:55:00,Viseu,"Av. da Bélgica, São José",Viseu,3510-159,40.668633,-7.915817,1.816
"PETROIL, São João da Pesqueira",Outro,São João da Pesqueira,"1,998 €",CEPSA,Gasolina especial 98,2025-02-10 12:25:00,Viseu,"EN 222 - KM 168, 45AV. MARQUÊS SOVERAL N.69",São João da Pesqueira,5130-321,41.14701,-7.406998,1.998
Boxoil,Outro,Vizela,"2,099 €",BP,Gasolina especial 98,2025-02-10 13:25:00,Braga,Rua Guilherme Caldas Peixoto 183,Vizela,4815-000,41.37069,-8.31226,2.099
BP Braga Imaculada,Outro,Braga,"2,099 €",BP,Gasolina especial 98,2025-02-10 17:30:00,Braga,Av. Imaculada Conceição,Braga,4700-034,41.54516,-8.42397,2.099
BP Palmeira,Outro,Braga,"2,099 €",BP,Gasolina especial 98,2025-02-10 17:30:00,Braga,Av. do Cávado,Palmeira,4700-690,41.57374,-8.42381,2.099
BP A1 Mealhada (Este),Auto-estrada,Cantanhede,"2,134 €",BP,Gasolina especial 98,2025-02-11 00:00:00,Coimbra,A1 - Km 204 - Enxofães - Murtede,Cantanhede,3060-000,40.333252,-8.492648,2.134
BP A1 Mealhada (Oeste),Auto-estrada,Cantanhede,"2,134 €",BP,Gasolina especial 98,2025-02-11 00:00:00,Coimbra,A1 - Km 204 - Enxofães - Murtede,Cantanhede,3060-000,40.33284,-8.493592,2.134
BP A1 Santarém (Oeste),Auto-estrada,Santarém,"2,134 €",BP,Gasolina especial 98,2025-02-11 00:00:00,Santarém,A. E. 1 - Km 84,A1 Santarém (Oeste),2001-701,39.393482,-8.640076,2.134
BP A1 Santarém (Este),Auto-estrada,Santarém,"2,134 €",BP,Gasolina especial 98,2025-02-11 00:00:00,Santarém,A. E. 1 - Km 84,A1 Santarém (Este),2001-701,39.391315,-8.637829,2.134
BP A2 SEIXAL,Auto-estrada,Seixal,"2,114 €",BP,Gasolina especial 98,2025-02-11 00:00:00,Setúbal,A. E. 2 Km 12 Sublanço Almada - Fogueteiro,Torre da Marinha,2840-000,38.622807,-9.134171,2.114
BP Portuzelo,Outro,Viana do Castelo,"2,099 €",BP,Gasolina especial 98,2025-02-12 00:00:00,Viana do Castelo,"Rua da Forneira, N.º 1",Santa Marta de Portuzelo,4925-059,41.70695,-8.78236,2.099
BP FAFE,Outro,Fafe,"2,099 €",BP,Gasolina especial 98,2025-02-12 00:00:00,Braga,Rua Cidade de Guimarães,Fafe,4820-178,41.45328,-8.18658,2.099
PA BP Campo de Besteiros,Outro,Tondela,"2,099 €",BP,Gasolina especial 98,2025-02-12 00:05:00,Viseu,Av. Dr. Afonso Costa,Campo de Besteiros,3465-051,40.553726,-8.132674,2.099
"Posto GALP Lousã EN342  - Anibal Antunes Bandeira, Lda ",Outro,Lousã,"2,059 €",GALP,Gasolina especial 98,2025-02-13 00:05:00,Coimbra,"EN 342 ao Km 8,75 (Variante Lousã-Miranda do Corvo)",Zona Industrial do Alto do Padrão,3200-133,40.11746,-8.28732,2.059
CEPSA - SOUSELAS,Outro,Coimbra,"2,023 €",CEPSA,Gasolina especial 98,2025-02-17 00:00:00,Coimbra,Rua dos Troviscais nº 32,Souselas,3020-886,40.296539,-8.418406,2.023
ENCANTANGULAR COMBUSTIVEIS,Outro,Felgueiras,"2,049 €",CEPSA,Gasolina especial 98,2025-02-17 09:35:00,Porto,Lugar de Rapadiça,Revinhade,4650-373,41.33841,-8.26672,2.049
TFUEL - MELIDES,Outro,Grândola,"2,129 €",BP,Gasolina especial 98,2025-02-17 11:00:00,Setúbal,Cruzamento de Vale Figueira,Melides,7570-756,38.14152,-8.73625,2.129
Estação de Serviço de Britiande,Outro,Lamego,"2,099 €",BP,Gasolina especial 98,2025-02-18 17:05:00,Viseu,"EN226, ao Km 17, Lugar da Estrada Nova",Britiande,5100-345,41.06233,-7.78948,2.099
E.S. SINES,Outro,Sines,"1,924 €",REPSOL,Gasolina especial 98,2025-03-15 00:00:00,Setúbal,Av. General Humberto Delgado M-N-O,Sines,7520-000,37.95812,-8.86573,1.924
BP Palhoça,Outro,Cadaval,"2,019 €",BP,Gasolina especial 98,2025-03-17 00:15:00,Lisboa,"EN 336 Km 0,5",Palhoça,2550-306,39.281223,-9.0588088,2.019
PORTIMÃO - V6,Outro,Portimão,"2,019 €",BP,Gasolina especial 98,2025-03-17 08:00:00,Faro,Av. V6 - Alto do Quintão,Portimão - Alto do Quintão,8500-510,37.128666,-8.546687,2.019
BP PINHAL NOVO,Outro,Palmela,"2,019 €",BP,Gasolina especial 98,2025-03-21 15:30:00,Setúbal,"EN 252 Km 6,5",Pinhal Novo,2955-000,38.636422,-8.913962,2.019
BP MOITA,Outro,Moita,"2,044 €",BP,Gasolina especial 98,2025-03-24 00:05:00,Setúbal,Largo da Estação (Rotunda da EN11),Moita,2860-000,38.647627,-8.993341,2.044
Bp Belverde,Outro,Seixal,"2,044 €",BP,Gasolina especial 98,2025-03-24 00:05:00,Setúbal,Av. Belverde,Belverde,2845-483,38.59796,-9.14011,2.044
BP,Outro,Mondim de Basto,"2,044 €",BP,Gasolina especial 98,2025-03-25 15:45:00,Vila Real,EN 304,Lugar da Lapinha,4880-183,41.40387,-7.95699,2.044
ALFABRENT Amareleja,Outro,Moura,"1,799 €",BP,Gasóleo especial,2025-03-25 17:25:00,Beja,EN 386,Amareleja,7885-013,38.21192,-7.23104,1.799
PALMELA - LAGOINHA,Outro,Palmela,"2,084 €",BP,Gasolina especial 98,2025-03-31 00:05:00,Setúbal,"EN 379-2 Km 3,880",Lagoinha,2950-521,38.596425,-8.931322,2.084
BP 5 OUTUBRO,Outro,Porto,"1,999 €",BP,Gasolina especial 98,2025-04-21 09:25:00,Porto,"Rua 5 de Outubro, 574",Ramalde,4100-173,41.16313,-8.63298,1.999
Giesta,Outro,Maia,"2,024 €",BP,Gasolina especial 98,2025-05-20 07:15:00,Porto,"Rua D. Afonso Henriques, 1013",Giesta,4425-636,41.18982,-8.58063,2.024
ÉVORA,Outro,Évora,"1,974 €",BP,Gasolina especial 98,2025-05-24 00:00:00,Évora,Portas de Machede,Évora,7000-753,38.573846,-7.900327,1.974
Estaçao Serviço Coronado,Outro,Trofa,"2,019 €",BP,Gasolina especial 98,2025-05-26 07:00:00,Porto,"Rua Vale do Coronado, 771",S. Mamede do Coronado,4745-496,41.27396,-8.57383,2.019
CREIXOAUTO GUIMARAES,Outro,Guimarães,"2,019 €",BP,Gasolina especial 98,2025-05-26 07:00:00,Braga,Rua Miradouro de Baixo,Creixomil,4835-079,41.43717,-8.31279,2.019
ABRUNHEIRA (SIN/ALB),Outro,Sintra,"1,933 €",CEPSA,Gasolina especial 98,2025-07-14 00:00:00,Lisboa,"LUGAR DE ABRUNHEIRA, LOTE 13, FREGUESIA DE SÃO PEDRO DE PENAFERRIM",Abrunheira,2710-089,38.773853,-9.350237,1.933
BP - Seixal Fogueteiro,Outro,Seixal,"2,019 €",BP,Gasolina especial 98,2025-07-21 00:05:00,Setúbal,Interface Seixal,Casal do Marco - Fogueteiro,2840-432,38.60971,-9.09919,2.019
Gepoil | PAC Lavra,Outro,Matosinhos,"1,999 €",BP,Gasolina especial 98,2025-07-28 11:25:00,Porto,Rua Manuel Francisco Correia,Lavra,4455-158,41.24543,-8.72196,1.999
Barreirinho - Pascoal,Outro,Viseu,"1,734 €",Genérico,Gasolina especial 98,2025-08-08 17:45:00,Viseu,Avenida do alto de Abraveses - EN 16  Pascoal,Pascoal,3515-828,40.688106,-7.927116,1.734
Moeve Ponte de Sor,Outro,Ponte de Sor,"1,900 €",Genérico,Gasolina especial 98,2025-10-27 09:20:00,Portalegre,"Estrada de Abrantes, Nº23 A",Ponte de Sor,7400-999,39.24549,-8.017071,1.9
CEPSA DE AVIS,Outro,Avis,"1,945 €",CEPSA,Gasolina especial 98,2025-11-03 09:35:00,Portalegre,"Rua Hortas do Chão, Lote 16",Avis,7480-183,39.052586,-7.892903,1.945
GALP Camarate - Posição 11174,Outro,Loures,"1,989 €",GALP,Gasolina especial 98,2025-11-17 09:30:00,Lisboa,Rua dos Bombeiros Voluntários - Bairro de São Francisco,Camarate,2680-534,38.79364,-9.137757,1.989
ÁGUAS SANTAS,Outro,Maia,"2,059 €",BP,Gasolina especial 98,2025-11-25 00:00:00,Porto,Rua do Mosteiro,Águas Santas,4425-140,41.210002,-8.576243,2.059
BP ERMESINDE,Outro,Valongo,"2,059 €",BP,Gasolina especial 98,2025-11-25 00:00:00,Porto,Rua José Joaquim Ribeiro Teles,Ermesinde,4445-485,41.21409,-8.5501,2.059
Cepsa- Jesuíno Felisberto Guerreiro,Outro,Odemira,"1,945 €",CEPSA,Gasolina especial 98,2025-12-09 11:30:00,Beja,"Rua Nova, nº.2",Colos,7630-329,37.73454,-8.46329,1.945
BP CORROIOS,Outro,Seixal,"1,999 €",BP,Gasolina especial 98,2025-12-16 00:05:00,Setúbal,"EN 10 Km 5,9",Corroios,2855-000,38.639392,-9.150164,1.999
E.S. MAKRO-PALMELA,Outro,Palmela,"1,904 €",REPSOL,Gasolina especial 98,2026-01-19 00:00:00,Setúbal,Quinta da Marquesa CABANAS - Quinta do Anjo,Palmela,2950-001,38.57845,-9.0067,1.904
MARQUES & FILHO - ÉVORA,Outro,Évora,"1,999 €",GALP,Gasolina especial 98,2026-01-19 02:25:00,Évora,EN 114 Km 182,Graça do Divor,7000-000,38.575123,-7.982641,1.999
PA BP Viana do Castelo,Outro,Viana do Castelo,"1,999 €",BP,Gasolina especial 98,2026-02-08 10:50:00,Viana do Castelo,Av. Abelheira nº 156,Viana do Castelo,4900-926,41.70718,-8.821972,1.999
"BEZERRANERGY,LDA",Outro,São Pedro do Sul,"1,999 €",BP,Gasolina especial 98,2026-02-13 23:00:00,Viseu,Rua Dr. José Correia de Oliveira nº 85,São Pedro do Sul,3660-462,40.759145,-8.064687,1.999
NJBFERREIRA - Comércio de GALP FREIRIA ,Outro,Rio Maior,"2,034 €",GALP,Gasolina especial 98,2026-03-11 14:05:00,Santarém,"E.N.1 ao Km.73,200 Freiria ",Freiria,2040-114,39.34091,-8.949353,2.034
Posto de Abastecimento Nevegas,Outro,Covilhã,"2,049 €",GALP,Gasóleo simples,2026-03-17 12:00:00,Castelo Branco,Eixo Teixoso Canhoso Tortosendo (TCT),Covilhã,6200-544,40.28293,-7.49028,2.049
PAC VALCARCE Salamonde,Outro,Vieira do Minho,"2,112 €",Genérico,Gasóleo simples,2026-03-24 00:00:00,Braga,"RUA CENTRAL DE SALAMONDE, Nº 1896",Salamonde,4850-369,41.682404,-8.090336,2.112
PAC VALCARCE Salamonde,Outro,Vieira do Minho,"1,966 €",Genérico,Gasolina simples 95,2026-03-24 00:00:00,Braga,"RUA CENTRAL DE SALAMONDE, Nº 1896",Salamonde,4850-369,41.682404,-8.090336,1.966
PAC VALCARCE Salamonde,Outro,Vieira do Minho,"2,134 €",Genérico,Gasóleo especial,2026-03-24 00:00:00,Braga,"RUA CENTRAL DE SALAMONDE, Nº 1896",Salamonde,4850-369,41.682404,-8.090336,2.134
PA Velomobil Combustíveis,Outro,Odemira,"2,171 €",Genérico,Gasóleo simples,2026-03-24 00:00:00,Beja,Rua 4 de Outubro,Bicos,7630-711,37.813126,-8.494673,2.171
PA Velomobil Combustíveis,Outro,Odemira,"2,025 €",Genérico,Gasolina simples 95,2026-03-24 00:00:00,Beja,Rua 4 de Outubro,Bicos,7630-711,37.813126,-8.494673,2.025
PA Velomobil Combustíveis,Outro,Odemira,"2,171 €",Genérico,Gasóleo especial,2026-03-24 00:00:00,Beja,Rua 4 de Outubro,Bicos,7630-711,37.813126,-8.494673,2.171
"Superfrades-Supermercados,Lda",Outro,Oliveira de Frades,"1,989 €",INTERMARCHÉ,Gasóleo simples,2026-03-24 00:00:00,Viseu,Rua Tapada dos Piteiros,Tapada da Piteira,3680-146,40.720055,-8.180377,1.989
"Superfrades-Supermercados,Lda",Outro,Oliveira de Frades,"2,039 €",INTERMARCHÉ,Gasóleo especial,2026-03-24 00:00:00,Viseu,Rua Tapada dos Piteiros,Tapada da Piteira,3680-146,40.720055,-8.180377,2.039
"Superfrades-Supermercados,Lda",Outro,Oliveira de Frades,"1,849 €",INTERMARCHÉ,Gasolina simples 95,2026-03-24 00:00:00,Viseu,Rua Tapada dos Piteiros,Tapada da Piteira,3680-146,40.720055,-8.180377,1.849
Primos Soares & Irmãos Ldª,Outro,Vila Nova de Paiva,"2,089 €",ETC,Gasóleo simples,2026-03-24 06:25:00,Viseu,EN 329,Vale do Carro,3650-201,40.863808,-7.747667,2.089
Primos Soares & Irmãos Ldª,Outro,Vila Nova de Paiva,"2,139 €",ETC,Gasóleo especial,2026-03-24 06:25:00,Viseu,EN 329,Vale do Carro,3650-201,40.863808,-7.747667,2.139
Primos Soares & Irmãos Ldª,Outro,Vila Nova de Paiva,"1,979 €",ETC,Gasolina simples 95,2026-03-24 06:25:00,Viseu,EN 329,Vale do Carro,3650-201,40.863808,-7.747667,1.979
Posto Lopes,Outro,Póvoa de Lanhoso,"2,189 €",FREITAS,Gasóleo especial,2026-03-24 06:30:00,Braga,EN 205,Monsul,4830-400,41.61699,-8.30662,2.189
Posto Lopes,Outro,Póvoa de Lanhoso,"2,169 €",FREITAS,Gasóleo simples,2026-03-24 06:30:00,Braga,EN 205,Monsul,4830-400,41.61699,-8.30662,2.169
Posto Lopes,Outro,Póvoa de Lanhoso,"1,999 €",FREITAS,Gasolina simples 95,2026-03-24 06:30:00,Braga,EN 205,Monsul,4830-400,41.61699,-8.30662,1.999
"P.A.C. VALE MONDEGO, LDA",Outro,Soure,"2,054 €",Genérico,Gasóleo simples,2026-03-24 07:00:00,Coimbra,Estrada Larga,Granja do Ulmeiro,3130-080,40.15677,-8.63387,2.054
"P.A.C. VALE MONDEGO, LDA",Outro,Soure,"2,114 €",Genérico,Gasóleo especial,2026-03-24 07:00:00,Coimbra,Estrada Larga,Granja do Ulmeiro,3130-080,40.15677,-8.63387,2.114
"P.A.C. VALE MONDEGO, LDA",Outro,Soure,"1,920 €",Genérico,Gasolina simples 95,2026-03-24 07:00:00,Coimbra,Estrada Larga,Granja do Ulmeiro,3130-080,40.15677,-8.63387,1.92
POSTO AMÉRICO DE SÁ,Outro,Ansião,"2,109 €",Genérico,Gasóleo especial,2026-03-24 07:30:00,Leiria,Charneca do Alvorge,Alvorge,3240-407,39.97835,-8.46728,2.109
POSTO AMÉRICO DE SÁ,Outro,Ansião,"2,089 €",Genérico,Gasóleo simples,2026-03-24 07:30:00,Leiria,Charneca do Alvorge,Alvorge,3240-407,39.97835,-8.46728,2.089
POSTO AMÉRICO DE SÁ,Outro,Ansião,"1,979 €",Genérico,Gasolina simples 95,2026-03-24 07:30:00,Leiria,Charneca do Alvorge,Alvorge,3240-407,39.97835,-8.46728,1.979
Intermarché Macedo de Cavaleiros,Área comercial (Hipermercados),Macedo de Cavaleiros,"1,989 €",INTERMARCHÉ,Gasóleo simples,2026-03-24 08:00:00,Bragança,"Lugar do Prado, Rua Camilo Castelo Branco",Macedo de Cavaleiros,5340-211,41.53225,-6.95185,1.989
Intermarché Macedo de Cavaleiros,Área comercial (Hipermercados),Macedo de Cavaleiros,"1,999 €",INTERMARCHÉ,Gasóleo especial,2026-03-24 08:00:00,Bragança,"Lugar do Prado, Rua Camilo Castelo Branco",Macedo de Cavaleiros,5340-211,41.53225,-6.95185,1.999
Intermarché Macedo de Cavaleiros,Área comercial (Hipermercados),Macedo de Cavaleiros,"1,849 €",INTERMARCHÉ,Gasolina simples 95,2026-03-24 08:00:00,Bragança,"Lugar do Prado, Rua Camilo Castelo Branco",Macedo de Cavaleiros,5340-211,41.53225,-6.95185,1.849
Cooperativa Agricola Mora,Outro,Mora,"2,050 €",CEPSA,Gasóleo simples,2026-03-24 08:05:00,Évora,Rua Caminho Ferro n;7,Mora,7490-242,38.94655,-8.159623,2.05
INTERMARCHÉ CONTACT DE BUDENS,Outro,Vila do Bispo,"1,988 €",INTERMARCHÉ,Gasóleo simples,2026-03-24 08:10:00,Faro,AREIAS DE CIMA ,Budens,8650-070,37.08632,-8.827874,1.988
INTERMARCHÉ CONTACT DE BUDENS,Outro,Vila do Bispo,"1,878 €",INTERMARCHÉ,Gasolina simples 95,2026-03-24 08:10:00,Faro,AREIAS DE CIMA ,Budens,8650-070,37.08632,-8.827874,1.878
António Joaquim Martins Cardoso,Outro,Penamacor,"2,049 €",REPSOL,Gasóleo simples,2026-03-24 08:20:00,Castelo Branco,Rua da Fonte Velha,Benquerença,6096-344,40.22551,-7.24381,2.049
António Joaquim Martins Cardoso,Outro,Penamacor,"1,989 €",REPSOL,Gasolina simples 95,2026-03-24 08:20:00,Castelo Branco,Rua da Fonte Velha,Benquerença,6096-344,40.22551,-7.24381,1.989
PA 4L Combustiveis,Outro,Loures,"1,989 €",Genérico,Gasóleo simples,2026-03-24 08:30:00,Lisboa,"Rua Salvador Allende, nº 9-A",Sacavém,2685-114,38.79364,-9.109774,1.989
Intermarché Castro Verde Contact,Outro,Castro Verde,"2,079 €",INTERMARCHÉ,Gasóleo simples,2026-03-24 08:45:00,Beja,"Estrada Serrana, apartado 121",Castro Verde,7780-909,37.70544,-8.0849901,2.079
Intermarché Castro Verde Contact,Outro,Castro Verde,"2,099 €",INTERMARCHÉ,Gasóleo especial,2026-03-24 08:45:00,Beja,"Estrada Serrana, apartado 121",Castro Verde,7780-909,37.70544,-8.0849901,2.099
Intermarché Castro Verde Contact,Outro,Castro Verde,"1,909 €",INTERMARCHÉ,Gasolina simples 95,2026-03-24 08:45:00,Beja,"Estrada Serrana, apartado 121",Castro Verde,7780-909,37.70544,-8.0849901,1.909
"Valente Rosa, Lda",Outro,Ourém,"2,185 €",OZ Energia,Gasóleo simples,2026-03-24 08:55:00,Santarém,Aldeia de Santa Teresa,Aldeia de Santa Teresa,2435-250,39.7535,-8.46541,2.185
"Valente Rosa, Lda",Outro,Ourém,"2,000 €",OZ Energia,Gasolina simples 95,2026-03-24 08:55:00,Santarém,Aldeia de Santa Teresa,Aldeia de Santa Teresa,2435-250,39.7535,-8.46541,2.0
"Interalter Supermercados, LDa",Outro,Alter do Chão,"1,999 €",INTERMARCHÉ,Gasóleo simples,2026-03-24 09:00:00,Portalegre,"ZI da Tapada do Lago, Lt L9-A, Ed Inter",Alter do Chão,7440-026,39.189053,-7.655572,1.999
"Interalter Supermercados, LDa",Outro,Alter do Chão,"2,069 €",INTERMARCHÉ,Gasóleo especial,2026-03-24 09:00:00,Portalegre,"ZI da Tapada do Lago, Lt L9-A, Ed Inter",Alter do Chão,7440-026,39.189053,-7.655572,2.069
"Interalter Supermercados, LDa",Outro,Alter do Chão,"1,859 €",INTERMARCHÉ,Gasolina simples 95,2026-03-24 09:00:00,Portalegre,"ZI da Tapada do Lago, Lt L9-A, Ed Inter",Alter do Chão,7440-026,39.189053,-7.655572,1.859
PA Vila Meã EN16,Outro,Viseu,"1,999 €",Genérico,Gasóleo simples,2026-03-24 09:05:00,Viseu,EN16,Povolide,3505-247,40.63552,-7.825418,1.999
PA Vila Meã EN16,Outro,Viseu,"1,899 €",Genérico,Gasolina simples 95,2026-03-24 09:05:00,Viseu,EN16,Povolide,3505-247,40.63552,-7.825418,1.899
PA Vila Meã EN16,Outro,Viseu,"1,204 €",Genérico,Gasóleo especial,2026-03-24 09:05:00,Viseu,EN16,Povolide,3505-247,40.63552,-7.825418,1.204
PA KUMA ENERGIA - Mangualde,Outro,Mangualde,"1,999 €",Genérico,Gasóleo simples,2026-03-24 09:05:00,Viseu,Rua Azurara da Beira n. 125,Mangualde,3530-272,40.604404,-7.753805,1.999
PA KUMA ENERGIA - Mangualde,Outro,Mangualde,"1,899 €",Genérico,Gasolina simples 95,2026-03-24 09:05:00,Viseu,Rua Azurara da Beira n. 125,Mangualde,3530-272,40.604404,-7.753805,1.899
PA KUMA ENERGIA - Mangualde,Outro,Mangualde,"1,204 €",Genérico,Gasóleo especial,2026-03-24 09:05:00,Viseu,Rua Azurara da Beira n. 125,Mangualde,3530-272,40.604404,-7.753805,1.204
E.LECLERC VIANA DO CASTELO (COMBUSTIVEIS),Outro,Viana do Castelo,"2,019 €",LECLERC,Gasóleo especial,2026-03-24 09:20:00,Viana do Castelo,Lugar de Santoinho – Quinta de São Brás,Viana do Castelo,4935-052,41.677635,-8.783506,2.019
E.LECLERC VIANA DO CASTELO (COMBUSTIVEIS),Outro,Viana do Castelo,"1,979 €",LECLERC,Gasóleo simples,2026-03-24 09:20:00,Viana do Castelo,Lugar de Santoinho – Quinta de São Brás,Viana do Castelo,4935-052,41.677635,-8.783506,1.979
E.LECLERC VIANA DO CASTELO (COMBUSTIVEIS),Outro,Viana do Castelo,"1,845 €",LECLERC,Gasolina simples 95,2026-03-24 09:20:00,Viana do Castelo,Lugar de Santoinho – Quinta de São Brás,Viana do Castelo,4935-052,41.677635,-8.783506,1.845
INTERMARCHÉ BELMONTE,Outro,Belmonte,"1,979 €",INTERMARCHÉ,Gasóleo especial,2026-03-24 09:25:00,Castelo Branco,Varanda de Pilatos,Belmonte,6250-020,40.36175,-7.34262,1.979
INTERMARCHÉ BELMONTE,Outro,Belmonte,"1,949 €",INTERMARCHÉ,Gasóleo simples,2026-03-24 09:25:00,Castelo Branco,Varanda de Pilatos,Belmonte,6250-020,40.36175,-7.34262,1.949
INTERMARCHÉ BELMONTE,Outro,Belmonte,"1,829 €",INTERMARCHÉ,Gasolina simples 95,2026-03-24 09:25:00,Castelo Branco,Varanda de Pilatos,Belmonte,6250-020,40.36175,-7.34262,1.829
Coopaguirense ,Outro,Vila Pouca de Aguiar,"2,079 €",GASPE,Gasóleo simples,2026-03-24 09:30:00,Vila Real,Largo do Toural,Vila Pouca de Aguiar,5450-005,41.49443,-7.64438,2.079
Coopaguirense ,Outro,Vila Pouca de Aguiar,"1,915 €",GASPE,Gasolina simples 95,2026-03-24 09:30:00,Vila Real,Largo do Toural,Vila Pouca de Aguiar,5450-005,41.49443,-7.64438,1.915
