Nome;TipoPosto;Municipio;Preco;Marca;Combustivel;DataAtualizacao;Distrito;Morada;Localidade;CodPostal;Latitude;Longitude
"CEPSA S. Teotónio";"Outro";"Odemira";"1,939 €";"CEPSA";"Gasolina especial 98";"2024-09-01 00:00";"Beja";"Loteamento Industrial da Bemposta, Lote 7";"S. Teotónio";"7630-614";37.50998;-8.71566
"Tavares & Filhos, Lda";"Outro";"Trancoso";"1,983 €";"CEPSA";"Gasolina especial 98";"2025-02-03 00:00";"Guarda";"EN 226";"Vila Franca das Naves";"6420-721";40.725426;-7.264571
"BP vizela Rotunda";"Outro";"Vizela";"2,099 €";"BP";"Gasolina especial 98";"2025-02-10 13:25";"Braga";"Rua Guilherme Caldas Peixoto";"Vizela";"4815-435";41.37069;-8.31226
"BP A1 Mealhada (Este)";"Auto-estrada";"Cantanhede";"2,134 €";"BP";"Gasolina especial 98";"2025-02-11 00:00";"Coimbra";"A1 - Km 204 - Enxofães - Murtede";"Cantanhede";"3060-000";40.333233;-8.492696
"TFUEL - BP MELIDES";"Outro";"Grândola";"2,129 €";"BP";"Gasolina especial 98";"2025-02-17 11:00";"Setúbal";"CRUZAMENTO VALE FIGUEIRA";"Melides";"7570-600";38.14144;-8.736047
"Gepoil | PAC Lavra";"Outro";"Matosinhos";"1,999 €";"BP";"Gasolina especial 98";"2025-07-28 11:25";"Porto";"Rua Manuel Francisco Correia";"Lavra";"4455-158";41.24543;-8.72196
"BP CORROIOS";"Outro";"Seixal";"1,999 €";"BP";"Gasolina especial 98";"2025-12-16 00:05";"Setúbal";"EN 10 Km 5,9";"Corroios";"2855-000";38.639392;-9.150164
"BP  Mem Martins";"Outro";"Sintra";"1,999 €";"BP";"Gasolina especial 98";"2026-01-26 22:50";"Lisboa";"Avenida Almirante Gago Coutinho - Parcela B";"Mem Martins";"2725-320";38.799732;-9.356473
"NJBFERREIRA - Comércio de GALP FREIRIA ";"Outro";"Rio Maior";"2,154 €";"GALP";"Gasolina especial 98";"2026-04-21 12:30";"Santarém";"E.N.1 ao Km.73,200 Freiria ";"Freiria";"2040-114";39.34091;-8.949353
"CEPSA SANFINS DO DOURO";"Outro";"Alijó";"2,250 €";"CEPSA";"Gasolina especial 98";"2026-05-18 00:00";"Vila Real";"Estrada Nacional 323-1";"Sanfins do Douro";"5070-351";41.29553;-7.51977
"BP CHÃO DA FEIRA";"Outro";"Porto de Mós";"2,334 €";"BP";"Gasolina especial 98";"2026-05-18 11:50";"Leiria";"EN 1, Km 107,4";"Chão da Feira";"2480-062";39.624098;-8.85721
"FERREIRA &FERREIRA COMBUSTIVEIS LDA - ALVES BANDEIRA";"Outro";"Sever do Vouga";"2,239 €";"ALVES BANDEIRA";"Gasolina especial 98";"2026-05-18 20:15";"Aveiro";"EN 16 (Rua de Vale de Água), nº 3546";"Fontelas do Vouga";"3740-015";40.731186;-8.332094
"BP GRANDOLA (OESTE)";"Outro";"Grândola";"1,909 €";"BP";"Gasóleo simples";"2026-06-22 00:00";"Setúbal";"EN 120";"Bairro do Isaías";"7570-124";38.21951;-8.558103
"BP GRANDOLA (OESTE)";"Outro";"Grândola";"2,029 €";"BP";"Gasóleo especial";"2026-06-22 00:00";"Setúbal";"EN 120";"Bairro do Isaías";"7570-124";38.21951;-8.558103
"E. LECLERC FEIRA";"Outro";"Santa Maria da Feira";"1,729 €";"LECLERC";"Gasóleo especial";"2026-06-22 20:00";"Aveiro";"Rua 5 de Outubro -Zona Industrial do Cavaco";"Santa Maria da Feira";"4520-162";40.9387;-8.54072
"E. LECLERC FEIRA";"Outro";"Santa Maria da Feira";"1,689 €";"LECLERC";"Gasóleo simples";"2026-06-22 20:00";"Aveiro";"Rua 5 de Outubro -Zona Industrial do Cavaco";"Santa Maria da Feira";"4520-162";40.9387;-8.54072
"BP GRANDOLA (OESTE)";"Outro";"Grândola";"1,999 €";"BP";"Gasolina simples 95";"2026-06-23 00:00";"Setúbal";"EN 120";"Bairro do Isaías";"7570-124";38.21951;-8.558103
"BP Montijo";"Outro";"Montijo";"2,199 €";"BP";"Gasolina especial 98";"2026-06-23 00:05";"Setúbal";"Rua Corregedor Rodrigues Dias";"Montijo";"2870-000";38.70337;-8.96462
"CUCUJÃES";"Outro";"Oliveira de Azeméis";"1,766 €";"CEPSA";"Gasóleo simples";"2026-06-25 00:00";"Aveiro";"Lugar de Fermil";"Vila de Cucujães";"3720-659";40.887832;-8.514765
"CUCUJÃES";"Outro";"Oliveira de Azeméis";"1,816 €";"CEPSA";"Gasóleo especial";"2026-06-25 00:00";"Aveiro";"Lugar de Fermil";"Vila de Cucujães";"3720-659";40.887832;-8.514765
"CUCUJÃES";"Outro";"Oliveira de Azeméis";"1,853 €";"CEPSA";"Gasolina simples 95";"2026-06-25 00:00";"Aveiro";"Lugar de Fermil";"Vila de Cucujães";"3720-659";40.887832;-8.514765
"CUCUJÃES";"Outro";"Oliveira de Azeméis";"2,065 €";"CEPSA";"Gasolina especial 98";"2026-06-25 00:00";"Aveiro";"Lugar de Fermil";"Vila de Cucujães";"3720-659";40.887832;-8.514765
"GALP  Mirandela";"Outro";"Mirandela";"1,844 €";"GALP";"Gasóleo simples";"2026-06-25 00:00";"Bragança";"Av. das Comunidades Europeias ";"Mirandela";"5370-205";41.49177;-7.17704
"GALP  Mirandela";"Outro";"Mirandela";"1,894 €";"GALP";"Gasóleo especial";"2026-06-25 00:00";"Bragança";"Av. das Comunidades Europeias ";"Mirandela";"5370-205";41.49177;-7.17704
"GALP  Mirandela";"Outro";"Mirandela";"1,929 €";"GALP";"Gasolina simples 95";"2026-06-25 00:00";"Bragança";"Av. das Comunidades Europeias ";"Mirandela";"5370-205";41.49177;-7.17704
"PA DE VILA DO CONDE - COOPERATIVA AGRÍCOLA DE VILA DO CONDE";"Outro";"Vila do Conde";"1,798 €";"Genérico";"Gasóleo simples";"2026-06-25 00:05";"Porto";"RUA DA LAPA, 293";"Vila do Conde";"4480-757";41.36048;-8.739048
"PA DE VILA DO CONDE - COOPERATIVA AGRÍCOLA DE VILA DO CONDE";"Outro";"Vila do Conde";"1,895 €";"Genérico";"Gasolina simples 95";"2026-06-25 00:05";"Porto";"RUA DA LAPA, 293";"Vila do Conde";"4480-757";41.36048;-8.739048
"Cooperativa Agrícola de Vila do Conde - Posto de Guilhabreu";"Outro";"Vila do Conde";"1,798 €";"Genérico";"Gasóleo simples";"2026-06-25 00:05";"Porto";"Rua da Agra, 500";"Guilhabreu";"4480-000";41.29269;-8.65524
"PA DE BAGUNTE - AGRIVIL - COOPERATIVA AGRÍCOLA DE VILA DO CONDE";"Outro";"Vila do Conde";"1,798 €";"Genérico";"Gasóleo simples";"2026-06-25 00:05";"Porto";"RUA COMENDADOR JOAQUIM COSTA E SILVA, 50";"Bagunte";"4480-229";41.36184;-8.670377
"PA DE BAGUNTE - AGRIVIL - COOPERATIVA AGRÍCOLA DE VILA DO CONDE";"Outro";"Vila do Conde";"1,818 €";"Genérico";"Gasóleo especial";"2026-06-25 00:05";"Porto";"RUA COMENDADOR JOAQUIM COSTA E SILVA, 50";"Bagunte";"4480-229";41.36184;-8.670377
"PA DE BAGUNTE - AGRIVIL - COOPERATIVA AGRÍCOLA DE VILA DO CONDE";"Outro";"Vila do Conde";"1,895 €";"Genérico";"Gasolina simples 95";"2026-06-25 00:05";"Porto";"RUA COMENDADOR JOAQUIM COSTA E SILVA, 50";"Bagunte";"4480-229";41.36184;-8.670377
"PA DE VILA DO CONDE - COOPERATIVA AGRÍCOLA DE VILA DO CONDE";"Outro";"Vila do Conde";"1,818 €";"Genérico";"Gasóleo especial";"2026-06-25 00:05";"Porto";"RUA DA LAPA, 293";"Vila do Conde";"4480-757";41.36048;-8.739048
"INTERMARCHÉ DE SÁTÃO";"Outro";"Sátão";"1,689 €";"INTERMARCHÉ";"Gasóleo simples";"2026-06-25 09:15";"Viseu";"Rua Cidade de Lescar";"Sátão";"3560-196";40.745;-7.73626
"INTERMARCHÉ DE SÁTÃO";"Outro";"Sátão";"1,779 €";"INTERMARCHÉ";"Gasolina simples 95";"2026-06-25 09:15";"Viseu";"Rua Cidade de Lescar";"Sátão";"3560-196";40.745;-7.73626
" Prio Evora - Torre de Coelheiros";"Outro";"Évora";"1,889 €";"PRIO";"Gasóleo especial";"2026-06-25 09:25";"Évora";"ESTRADA MUNICIPAL 521 - RUA A LOTE 1 - ZONA INDUSTRIAL";"Torre de Coelheiros";"7005-789";38.4098;-7.839074
" Prio Evora - Torre de Coelheiros";"Outro";"Évora";"1,899 €";"PRIO";"Gasóleo simples";"2026-06-25 09:25";"Évora";"ESTRADA MUNICIPAL 521 - RUA A LOTE 1 - ZONA INDUSTRIAL";"Torre de Coelheiros";"7005-789";38.4098;-7.839074
" Prio Evora - Torre de Coelheiros";"Outro";"Évora";"1,979 €";"PRIO";"Gasolina simples 95";"2026-06-25 09:25";"Évora";"ESTRADA MUNICIPAL 521 - RUA A LOTE 1 - ZONA INDUSTRIAL";"Torre de Coelheiros";"7005-789";38.4098;-7.839074
"INTERMARCHE VILAR FORMOSO";"Área comercial (Hipermercados)";"Almeida";"1,659 €";"INTERMARCHÉ";"Gasóleo simples";"2026-06-25 10:05";"Guarda";"Sitio da Represa";"Vilar Formoso";"6355-289";40.61817;-6.84339
"INTERMARCHE VILAR FORMOSO";"Área comercial (Hipermercados)";"Almeida";"1,699 €";"INTERMARCHÉ";"Gasolina simples 95";"2026-06-25 10:05";"Guarda";"Sitio da Represa";"Vilar Formoso";"6355-289";40.61817;-6.84339
"PRIO Rio de Mel -Trancoso";"Outro";"Trancoso";"1,919 €";"PRIO";"Gasolina simples 95";"2026-06-25 10:25";"Guarda";"EN 226, km 77 - Rio de Mel";"Rio de Mel";"6420-552";40.80762;-7.393079
"PRIO Rio de Mel -Trancoso";"Outro";"Trancoso";"1,836 €";"PRIO";"Gasóleo especial";"2026-06-25 10:25";"Guarda";"EN 226, km 77 - Rio de Mel";"Rio de Mel";"6420-552";40.80762;-7.393079
"MoitaSul";"Outro";"Moita";"2,056 €";"Genérico";"Gasolina especial 98";"2026-06-25 11:20";"Setúbal";"Fazenda Do Costa - Carvalhinho";"Moita";"2860-707";38.64518;-8.97844
"MoitaSul";"Outro";"Moita";"1,745 €";"Genérico";"Gasóleo simples";"2026-06-25 11:20";"Setúbal";"Fazenda Do Costa - Carvalhinho";"Moita";"2860-707";38.64518;-8.97844
"MoitaSul";"Outro";"Moita";"1,765 €";"Genérico";"Gasóleo especial";"2026-06-25 11:20";"Setúbal";"Fazenda Do Costa - Carvalhinho";"Moita";"2860-707";38.64518;-8.97844
"MoitaSul";"Outro";"Moita";"1,845 €";"Genérico";"Gasolina simples 95";"2026-06-25 11:20";"Setúbal";"Fazenda Do Costa - Carvalhinho";"Moita";"2860-707";38.64518;-8.97844
"IRMAOS BELEZA";"Outro";"Castelo de Paiva";"1,834 €";"GALP";"Gasóleo simples";"2026-06-25 12:20";"Aveiro";"Lugar do Bom Retiro";"Sobrado";"4550-208";41.044731;-8.265869
"IRMAOS BELEZA";"Outro";"Castelo de Paiva";"1,924 €";"GALP";"Gasolina simples 95";"2026-06-25 12:20";"Aveiro";"Lugar do Bom Retiro";"Sobrado";"4550-208";41.044731;-8.265869
"IRMAOS BELEZA";"Outro";"Castelo de Paiva";"1,884 €";"GALP";"Gasóleo especial";"2026-06-25 12:20";"Aveiro";"Lugar do Bom Retiro";"Sobrado";"4550-208";41.044731;-8.265869
"Intermarché de Alcobaça";"Outro";"Alcobaça";"1,719 €";"INTERMARCHÉ";"Gasóleo simples";"2026-06-25 14:10";"Leiria";"Estrada da Boavista\r\nPataeira - Palmeira";"Alcobaça";"2460-000";39.553386;-8.969276
"Intermarché de Alcobaça";"Outro";"Alcobaça";"1,799 €";"INTERMARCHÉ";"Gasolina simples 95";"2026-06-25 14:10";"Leiria";"Estrada da Boavista\r\nPataeira - Palmeira";"Alcobaça";"2460-000";39.553386;-8.969276
"PA Matas AUTO POÇAS";"Outro";"Ourém";"1,777 €";"Genérico";"Gasóleo especial";"2026-06-25 14:25";"Santarém";"Rua 1º de Janeiro 647 - Poças";"Matas";"2435-391";39.734165;-8.657657
"PA Matas AUTO POÇAS";"Outro";"Ourém";"1,839 €";"Genérico";"Gasolina simples 95";"2026-06-25 14:25";"Santarém";"Rua 1º de Janeiro 647 - Poças";"Matas";"2435-391";39.734165;-8.657657
"PA Matas AUTO POÇAS";"Outro";"Ourém";"1,748 €";"Genérico";"Gasóleo simples";"2026-06-25 14:25";"Santarém";"Rua 1º de Janeiro 647 - Poças";"Matas";"2435-391";39.734165;-8.657657
"BEQ Relvão";"Outro";"Penacova";"1,840 €";"BEQ";"Gasóleo simples";"2026-06-25 16:40";"Coimbra";"EM 530 - Lugar do Relvão";"Relvão";"3360-256";40.307453;-8.153984
"BEQ Relvão";"Outro";"Penacova";"1,890 €";"BEQ";"Gasóleo especial";"2026-06-25 16:40";"Coimbra";"EM 530 - Lugar do Relvão";"Relvão";"3360-256";40.307453;-8.153984
"BEQ Relvão";"Outro";"Penacova";"1,920 €";"BEQ";"Gasolina simples 95";"2026-06-25 16:40";"Coimbra";"EM 530 - Lugar do Relvão";"Relvão";"3360-256";40.307453;-8.153984
"PETROIL, São João da Pesqueira";"Outro";"São João da Pesqueira";"1,856 €";"MOEVE";"Gasóleo especial";"2026-06-25 18:15";"Viseu";"EN 222 - KM 168, 45AV. MARQUÊS SOVERAL N.69";"São João da Pesqueira";"5130-321";41.14701;-7.406998
"PETROIL, São João da Pesqueira";"Outro";"São João da Pesqueira";"1,806 €";"MOEVE";"Gasóleo simples";"2026-06-25 18:15";"Viseu";"EN 222 - KM 168, 45AV. MARQUÊS SOVERAL N.69";"São João da Pesqueira";"5130-321";41.14701;-7.406998
"PETROIL, São João da Pesqueira";"Outro";"São João da Pesqueira";"2,105 €";"MOEVE";"Gasolina especial 98";"2026-06-25 18:15";"Viseu";"EN 222 - KM 168, 45AV. MARQUÊS SOVERAL N.69";"São João da Pesqueira";"5130-321";41.14701;-7.406998
"PETROIL, São João da Pesqueira";"Outro";"São João da Pesqueira";"1,893 €";"MOEVE";"Gasolina simples 95";"2026-06-25 18:15";"Viseu";"EN 222 - KM 168, 45AV. MARQUÊS SOVERAL N.69";"São João da Pesqueira";"5130-321";41.14701;-7.406998
"E.S. CAVERNAES B";"Outro";"Viseu";"1,824 €";"REPSOL";"Gasóleo simples";"2026-06-25 18:15";"Viseu";"CAVERNÃES";"";"";40.716824;-7.831499
"E.S. CAVERNAES B";"Outro";"Viseu";"1,884 €";"REPSOL";"Gasóleo especial";"2026-06-25 18:15";"Viseu";"CAVERNÃES";"";"";40.716824;-7.831499
"E.S. CAVERNAES B";"Outro";"Viseu";"1,909 €";"REPSOL";"Gasolina simples 95";"2026-06-25 18:15";"Viseu";"CAVERNÃES";"";"";40.716824;-7.831499
"E.S. CAVERNAES B";"Outro";"Viseu";"2,089 €";"REPSOL";"Gasolina especial 98";"2026-06-25 18:15";"Viseu";"CAVERNÃES";"";"";40.716824;-7.831499
"INTERMARCHÉ  Covilhã";"Outro";"Covilhã";"1,699 €";"INTERMARCHÉ";"Gasóleo simples";"2026-06-25 18:30";"Castelo Branco";"Av.Infante D.Henrique";"Covilhã";"6200-506";40.27064;-7.494
"INTERMARCHÉ  Covilhã";"Outro";"Covilhã";"1,719 €";"INTERMARCHÉ";"Gasóleo especial";"2026-06-25 18:30";"Castelo Branco";"Av.Infante D.Henrique";"Covilhã";"6200-506";40.27064;-7.494
"INTERMARCHÉ  Covilhã";"Outro";"Covilhã";"1,779 €";"INTERMARCHÉ";"Gasolina simples 95";"2026-06-25 18:30";"Castelo Branco";"Av.Infante D.Henrique";"Covilhã";"6200-506";40.27064;-7.494
"GALP  GLORIA DO RIBATEJO";"Outro";"Salvaterra de Magos";"1,856 €";"GALP";"Gasóleo simples";"2026-06-25 19:30";"Santarém";"Rua de Coruche";"Glória do Ribatejo";"2125-050";39.04133;-8.64169
"GALP  GLORIA DO RIBATEJO";"Outro";"Salvaterra de Magos";"1,943 €";"GALP";"Gasolina simples 95";"2026-06-25 19:30";"Santarém";"Rua de Coruche";"Glória do Ribatejo";"2125-050";39.04133;-8.64169
"Intermarché de Óbidos";"Outro";"Óbidos";"1,759 €";"INTERMARCHÉ";"Gasóleo simples";"2026-06-25 21:00";"Leiria";"Casal do Pedrógão";"Gaeiras";"2510-739";39.38938;-9.13109
"Intermarché de Óbidos";"Outro";"Óbidos";"1,799 €";"INTERMARCHÉ";"Gasóleo especial";"2026-06-25 21:00";"Leiria";"Casal do Pedrógão";"Gaeiras";"2510-739";39.38938;-9.13109
"Intermarché de Óbidos";"Outro";"Óbidos";"1,822 €";"INTERMARCHÉ";"Gasolina simples 95";"2026-06-25 21:00";"Leiria";"Casal do Pedrógão";"Gaeiras";"2510-739";39.38938;-9.13109
"PETROPRIX Matosinhos";"Outro";"Matosinhos";"1,689 €";"PETROPRIX ";"Gasóleo simples";"2026-06-25 23:10";"Porto";"Rua Joaquim Alves da Silva";"Perafita";"4455-473";41.218243;-8.693475
"PETROPRIX Matosinhos";"Outro";"Matosinhos";"1,799 €";"PETROPRIX ";"Gasolina simples 95";"2026-06-25 23:10";"Porto";"Rua Joaquim Alves da Silva";"Perafita";"4455-473";41.218243;-8.693475
"PETROPRIX Matosinhos 2 (Sta Cruz Bispo)";"Outro";"Matosinhos";"1,799 €";"PETROPRIX ";"Gasolina simples 95";"2026-06-25 23:15";"Porto";"Avenida Arquiteto Fernando Távora";"Santa Cruz do Bispo";"4455-877";41.209248;-8.683577
"PETROPRIX Matosinhos 2 (Sta Cruz Bispo)";"Outro";"Matosinhos";"1,689 €";"PETROPRIX ";"Gasóleo simples";"2026-06-25 23:15";"Porto";"Avenida Arquiteto Fernando Távora";"Santa Cruz do Bispo";"4455-877";41.209248;-8.683577
"Agricarmões, Lda";"Outro";"Torres Vedras";"1,829 €";"AUTO JULIO";"Gasóleo simples";"2026-06-26 08:05";"Lisboa";"EN 115, nº17";"São Domingos de Carmões";"2565-116";39.057843;-9.131519
"Agricarmões, Lda";"Outro";"Torres Vedras";"1,849 €";"AUTO JULIO";"Gasóleo especial";"2026-06-26 08:05";"Lisboa";"EN 115, nº17";"São Domingos de Carmões";"2565-116";39.057843;-9.131519
"Agricarmões, Lda";"Outro";"Torres Vedras";"1,919 €";"AUTO JULIO";"Gasolina simples 95";"2026-06-26 08:05";"Lisboa";"EN 115, nº17";"São Domingos de Carmões";"2565-116";39.057843;-9.131519
"CEPSA Barrosas";"Outro";"Felgueiras";"1,809 €";"CEPSA";"Gasóleo simples";"2026-06-26 10:10";"Porto";"Rua da revinhade n 339";"Revinhade";"4650-373";41.33841;-8.26672
"CEPSA Barrosas";"Outro";"Felgueiras";"1,929 €";"CEPSA";"Gasóleo especial";"2026-06-26 10:10";"Porto";"Rua da revinhade n 339";"Revinhade";"4650-373";41.33841;-8.26672
"CEPSA Barrosas";"Outro";"Felgueiras";"1,899 €";"CEPSA";"Gasolina simples 95";"2026-06-26 10:10";"Porto";"Rua da revinhade n 339";"Revinhade";"4650-373";41.33841;-8.26672
"CEPSA Barrosas";"Outro";"Felgueiras";"2,159 €";"CEPSA";"Gasolina especial 98";"2026-06-26 10:10";"Porto";"Rua da revinhade n 339";"Revinhade";"4650-373";41.33841;-8.26672
"Galp Sernancelhe ";"Outro";"Sernancelhe";"1,864 €";"GALP";"Gasóleo simples";"2026-06-26 10:30";"Viseu";"Bairro do Sulminheiro ";"Sernancelhe";"3640-229";40.898415;-7.485933
"Galp Sernancelhe ";"Outro";"Sernancelhe";"1,914 €";"GALP";"Gasóleo especial";"2026-06-26 10:30";"Viseu";"Bairro do Sulminheiro ";"Sernancelhe";"3640-229";40.898415;-7.485933
"Galp Sernancelhe ";"Outro";"Sernancelhe";"1,954 €";"GALP";"Gasolina simples 95";"2026-06-26 10:30";"Viseu";"Bairro do Sulminheiro ";"Sernancelhe";"3640-229";40.898415;-7.485933
"Posto BP Paredes";"Outro";"Paredes";"1,849 €";"BP";"Gasóleo simples";"2026-06-26 11:05";"Porto";"R. Dr. José Magalhães, 121";"Paredes";"4580-133";41.209702;-8.328676
"Posto BP Paredes";"Outro";"Paredes";"2,029 €";"BP";"Gasóleo especial";"2026-06-26 11:05";"Porto";"R. Dr. José Magalhães, 121";"Paredes";"4580-133";41.209702;-8.328676
"Posto BP Paredes";"Outro";"Paredes";"1,939 €";"BP";"Gasolina simples 95";"2026-06-26 11:05";"Porto";"R. Dr. José Magalhães, 121";"Paredes";"4580-133";41.209702;-8.328676
"Posto BP Paredes";"Outro";"Paredes";"2,199 €";"BP";"Gasolina especial 98";"2026-06-26 11:05";"Porto";"R. Dr. José Magalhães, 121";"Paredes";"4580-133";41.209702;-8.328676
"BP ANSIÃO NORTE";"Outro";"Ansião";"2,029 €";"BP";"Gasóleo especial";"2026-06-26 11:40";"Leiria";"IC 8 Km 17,5";"Ansião-Moinhos João da Serra";"3240-226";39.917;-8.45714
"BP ANSIÃO NORTE";"Outro";"Ansião";"1,909 €";"BP";"Gasóleo simples";"2026-06-26 11:40";"Leiria";"IC 8 Km 17,5";"Ansião-Moinhos João da Serra";"3240-226";39.917;-8.45714
"BP ANSIÃO NORTE";"Outro";"Ansião";"1,994 €";"BP";"Gasolina simples 95";"2026-06-26 11:40";"Leiria";"IC 8 Km 17,5";"Ansião-Moinhos João da Serra";"3240-226";39.917;-8.45714
"BP Ansião - Sul";"Outro";"Ansião";"2,029 €";"BP";"Gasóleo especial";"2026-06-26 11:40";"Leiria";"IC 8 Km 17,5";"Ansião-Moinhos João da Serra";"3240-226";39.91557;-8.45845
"BP Ansião - Sul";"Outro";"Ansião";"1,909 €";"BP";"Gasóleo simples";"2026-06-26 11:40";"Leiria";"IC 8 Km 17,5";"Ansião-Moinhos João da Serra";"3240-226";39.91557;-8.45845
"BP Ansião - Sul";"Outro";"Ansião";"1,999 €";"BP";"Gasolina simples 95";"2026-06-26 11:40";"Leiria";"IC 8 Km 17,5";"Ansião-Moinhos João da Serra";"3240-226";39.91557;-8.45845
"BP ANSIÃO NORTE";"Outro";"Ansião";"2,199 €";"BP";"Gasolina especial 98";"2026-06-26 11:40";"Leiria";"IC 8 Km 17,5";"Ansião-Moinhos João da Serra";"3240-226";39.917;-8.45714
"CEPSA AVINTES";"Outro";"Vila Nova de Gaia";"1,806 €";"CEPSA";"Gasóleo simples";"2026-06-26 11:55";"Porto";"Rua 5 de Outubro";"Avintes - Vila Nova de Gaia";"4431-801";41.10556;-8.55231
"CEPSA AVINTES";"Outro";"Vila Nova de Gaia";"1,856 €";"CEPSA";"Gasóleo especial";"2026-06-26 11:55";"Porto";"Rua 5 de Outubro";"Avintes - Vila Nova de Gaia";"4431-801";41.10556;-8.55231
"CEPSA AVINTES";"Outro";"Vila Nova de Gaia";"1,893 €";"CEPSA";"Gasolina simples 95";"2026-06-26 11:55";"Porto";"Rua 5 de Outubro";"Avintes - Vila Nova de Gaia";"4431-801";41.10556;-8.55231
"CEPSA AVINTES";"Outro";"Vila Nova de Gaia";"2,105 €";"CEPSA";"Gasolina especial 98";"2026-06-26 11:55";"Porto";"Rua 5 de Outubro";"Avintes - Vila Nova de Gaia";"4431-801";41.10556;-8.55231
"TF GEST AVESSADAS";"Outro";"Marco de Canaveses";"1,829 €";"FREITAS";"Gasóleo simples";"2026-06-26 13:45";"Porto";"EN 210, km 67,500 - Avenida Santuário Menino Jesus de Praga, 809";"Marco de Canaveses";"4630-100";41.152203;-8.191701
"TF GEST AVESSADAS";"Outro";"Marco de Canaveses";"1,849 €";"FREITAS";"Gasóleo especial";"2026-06-26 13:45";"Porto";"EN 210, km 67,500 - Avenida Santuário Menino Jesus de Praga, 809";"Marco de Canaveses";"4630-100";41.152203;-8.191701
"TF GEST AVESSADAS";"Outro";"Marco de Canaveses";"1,929 €";"FREITAS";"Gasolina simples 95";"2026-06-26 13:45";"Porto";"EN 210, km 67,500 - Avenida Santuário Menino Jesus de Praga, 809";"Marco de Canaveses";"4630-100";41.152203;-8.191701
"TF GEST AVESSADAS";"Outro";"Marco de Canaveses";"2,129 €";"FREITAS";"Gasolina especial 98";"2026-06-26 13:45";"Porto";"EN 210, km 67,500 - Avenida Santuário Menino Jesus de Praga, 809";"Marco de Canaveses";"4630-100";41.152203;-8.191701
"E.S. S. PEDRO DO SUL -  OLIVEIRA";"Outro";"São Pedro do Sul";"1,844 €";"REPSOL";"Gasóleo simples";"2026-06-26 14:40";"Viseu";"RUA DA ABENEIRA - OLIVEIRA, SUL";"Oliveira";"3660-625";40.82101;-8.045627
"E.S. S. PEDRO DO SUL -  OLIVEIRA";"Outro";"São Pedro do Sul";"1,904 €";"REPSOL";"Gasóleo especial";"2026-06-26 14:40";"Viseu";"RUA DA ABENEIRA - OLIVEIRA, SUL";"Oliveira";"3660-625";40.82101;-8.045627
"E.S. S. PEDRO DO SUL -  OLIVEIRA";"Outro";"São Pedro do Sul";"1,929 €";"REPSOL";"Gasolina simples 95";"2026-06-26 14:40";"Viseu";"RUA DA ABENEIRA - OLIVEIRA, SUL";"Oliveira";"3660-625";40.82101;-8.045627
"E.S. S. PEDRO DO SUL -  OLIVEIRA";"Outro";"São Pedro do Sul";"2,119 €";"REPSOL";"Gasolina especial 98";"2026-06-26 14:40";"Viseu";"RUA DA ABENEIRA - OLIVEIRA, SUL";"Oliveira";"3660-625";40.82101;-8.045627
"E.S. PAREDES DA BEIRA";"Outro";"São João da Pesqueira";"1,834 €";"REPSOL";"Gasóleo simples";"2026-06-26 14:40";"Viseu";"EN 505, BAIRRO DO CRUZEIRO 57";"Paredes da Beira";"5130-272";41.05134;-7.46969
"E.S. PAREDES DA BEIRA";"Outro";"São João da Pesqueira";"1,894 €";"REPSOL";"Gasóleo especial";"2026-06-26 14:40";"Viseu";"EN 505, BAIRRO DO CRUZEIRO 57";"Paredes da Beira";"5130-272";41.05134;-7.46969
"E.S. PAREDES DA BEIRA";"Outro";"São João da Pesqueira";"1,919 €";"REPSOL";"Gasolina simples 95";"2026-06-26 14:40";"Viseu";"EN 505, BAIRRO DO CRUZEIRO 57";"Paredes da Beira";"5130-272";41.05134;-7.46969
"E.S. PAREDES DA BEIRA";"Outro";"São João da Pesqueira";"2,099 €";"REPSOL";"Gasolina especial 98";"2026-06-26 14:40";"Viseu";"EN 505, BAIRRO DO CRUZEIRO 57";"Paredes da Beira";"5130-272";41.05134;-7.46969
"E.S. PINDELO DOS MILAGRES";"Outro";"São Pedro do Sul";"1,824 €";"REPSOL";"Gasóleo simples";"2026-06-26 14:40";"Viseu";"RUA DA LIBERDADE Nº47";"Pindelo dos Milagres";"3660-174";40.80595;-7.963794
"E.S. PINDELO DOS MILAGRES";"Outro";"São Pedro do Sul";"1,884 €";"REPSOL";"Gasóleo especial";"2026-06-26 14:40";"Viseu";"RUA DA LIBERDADE Nº47";"Pindelo dos Milagres";"3660-174";40.80595;-7.963794
"E.S. PINDELO DOS MILAGRES";"Outro";"São Pedro do Sul";"1,909 €";"REPSOL";"Gasolina simples 95";"2026-06-26 14:40";"Viseu";"RUA DA LIBERDADE Nº47";"Pindelo dos Milagres";"3660-174";40.80595;-7.963794
"E.S. PINDELO DOS MILAGRES";"Outro";"São Pedro do Sul";"2,089 €";"REPSOL";"Gasolina especial 98";"2026-06-26 14:40";"Viseu";"RUA DA LIBERDADE Nº47";"Pindelo dos Milagres";"3660-174";40.80595;-7.963794
"REPSOL VALE SANTAREM";"Outro";"Santarém";"1,834 €";"REPSOL";"Gasóleo simples";"2026-06-26 14:40";"Santarém";"Estrada Nacional 3, Km 28,9";"";"2005-050";39.18865;-8.74745
